key,nickname
2040,DERT - Dunlap Eagles Robotics Team
2046,Bear Metal
2048,The Pink Panthers
2051,The Beattie Bulldogs
2052,KnightKrawler
2053,Southern Tier Robotics
2054,Tech Vikes
2056,OP Robotics
2059,The Hitchhikers
2062,CORE 2062
2064,The Panther Project
2067,Apple Pi
2068,Metal Jackets
2070,Royals
2073,EagleForce
2075,Enigma Robotics
2077,Laser Robotics
2079,4H ALARM Robotics
2080,Torbotics
2083,Team Blitz
2084,Robots by the C
2090,Buff 'n Blue
2095,Direct Current
2096,RoboActive
2097,Phoenix Force Robotics
2102,Team Paradox
2106,The Junkyard Dogs
2122,Team Tators
2129,Ultraviolet
2130,Alpha+
2135,Presentation Invasion
2137,The Oxford RoboCats
2141,Spartonics
2143,Team Tobor
2145,HAZMATs
2147,CHUCK
2151,Monty Pythons
2152,S*M*A*S*H
2158,ausTIN CANs
2161,Robocats
2165,BisonBots
2168,Aluminum Falcons
2169,KING TeC
2170,Galvanized Guardians
2171,RoboDogs
2172,Steel Unit-E
2175,The Fighting Calculators
2177,The Robettes
2180,Zero Gravity
2181,G.E.A.R.s (Great Engineers Awesome Robots)
2183,Tigerbots
2186,Dogs of Steel
2190,Team Hero
2191,Flux Core
2194,Fondy Fire
2197,Las Pumas
2198,Paradigm Shift Robotics
2199,Robo-Lions
2200,MMRambotics
2202,BEAST Robotics
2204,Rambots
2207,Bright Bears
2212,The Spikes
2220,Blue Twilight
2221,FHS Robodawgs
2224,RoboPhoenix
2225,Rebel Robotics
2227,Tigers
2228,CougarTech
2230,General Angels
2231,OnyxTronix
2234,Alternating Current
2239,Technocrats
2240,Brute Force
2246,The Army of Sum
2252,The Mavericks
2261,Casa Robotics
2262,Robo-Panthers
2264,Trojan Robotics
2265,Fe Maidens
2283,Panteras
2288,Hydra Robotics
2333,S.C.R.E.E.C.H.
2337,EngiNERDs
2338,Gear It Forward
2340,Xcentrics
2341,Sprockets
2342,Team Phoenix
2344,The Saunders Droid Factory
2345,Animal Control
2347,Trial and Error
2348,Cool Geeks
2352,Metal Mayhem
2357,System Meltdown
2358,Bearbotics
2359,RoboLobos
2363,Triple Helix Robotics
2367,Lancer Robotics
2370,IBOTS
2373,The Crickets
2374,Crusader Bots
2375,Dragon Robotics
2377,C Company
2383,Ninjineers
2386,Trojans
2393,Robotichauns
2395,OKC 4-H Robotics - Ninja Munkees
2399,The Fighting Unicorns
2403,Plasma Robotics
2404,Team NEY Techs (TNT)
2405,Techno Trojans
2408,Shrapnel Sergeants
2410,Blue Valley CAPS Metal Mustang Robotics
2412,Robototes
2415,WiredCats
2421,RTR Team Robotics
2423,The KwarQs
2425,Hydra
2429,La Cañada Engineering Club
2438,'Iobotics
2441,Spartechs
2443,Blue Thunder
2445,RoboKAP
2449,Out of Orbit Robotics
2450,Wind Chill
2451,PWNAGE
2457,The Law
2458,Team Chaos
2465,Kauaibots
2468,Team Appreciate
2470,Team BJORG
2471,Team Mean Machine
2472,Centurions
2473,Goldstrikers
2477,Marauder Rascals
2478,Westwood Robotics
2481,Roboteers
2485,W.A.R. Lords
2486,CocoNuts
2487,Mechanical Animals
2489,The Insomniacs
2491,NoMythic
2495,Hive Mind
2498,BearBotics
2500,Herobotics
2501,Bionic Polars
2502,Talon Robotics
2503,Warrior Robotics
2506,Saber Robotics
2508,Armada
2509,Tigerbots
2511,Cougars
2512,Duluth East Daredevils
2513,T.E.R.T.O.L.A.
2515,MR.E
2518,Spartan Robotics
2521,SERT
2522,Royal Robotics
2523,Tech Storm
2526,Crimson Robotics
2530,Inconceivable
2531,RoboHawks
2534,Lumberjack Robotics
2537,Space RAIDers
2538,The Plaid Pillagers
2539,Krypton Cougars
2543,TitanBot
2549,Millerbots
2550,Skynet
2551,Penguin Empire
2554,The WarHawks
2556,RadioActive Roaches
2557,SOTAbots
2559,Normality Zero
2560,RoboDog
2574,RoboHuskie
2577,Pingry Robotics
2582,PantherBots
2583,Orange Dynamite
2584,Flame of The West
2585,Impact
2586,Copper Bots
2587,DiscoBots
2590,Nemesis
2591,RedTails
2594,Naskcorpions
2600,Team Falcon
2601,Steel Hawks
2603,Steel Stingers
2604,Metal and Soul
2606,Irish Robotics
2607,The Fighting RoboVikings
2609,BeaverworX
2611,Jacktown Vectors
2613,Protobots
2614,Mountaineer Area RoboticS (MARS)
2619,The Charge
2620,Titans
2626,Evolution
2630,Thunderbolts
2632,SteeleBots
2634,The Gryphons
2635,Lake Monsters
2637,Phantom Catz
2638,Rebel Robotics
2640,HOTBOTZ
2641,Pittsburgh Central Catholic Robotics
2642,Pitt Pirates
2643,Dark Matter
2647,Cyborg Mustangs
2648,Infinite Loop
2654,Polar Rams
2655,The Flying Platypi
2656,Quasics
2657,Team Thundercats
2658,Σ-Motion
2659,RoboWarriors
2662,RoboKrew
2667,Knights of the Valley
2673,Tenacious Technicians
2679,Tiger Team
2687,Team Apprentice
2689,Team Alpha
2702,Rebels
2704,Roaring Robotics
2706,Merge Robotics
2708,Lake Effect Robotics
2710,JetStream 2710
2712,Power Surge 4-H Robotics
2713,Red Hawk Robotics
2714,♨️ BBQ ♨️
2718,Team OKC e'possums (Σ 1/n! x 10^3)
2720,Red Watch Robotics
2722,Charge Robotics
2725,Ice Princesses
2733,Pigmice
2767,Stryke Force
2771,Code Red Robotics the Stray Dogs
2773,IronDogz
2783,Engineers of Tomorrow
2789,TEXPLOSION
